source,target,relationship
payments,net_revenue,feeds_metric
refunds,net_revenue,feeds_metric
customers,net_revenue,feeds_metric
net_revenue,executive_dashboard,consumed_by
net_revenue,finance_dashboard,consumed_by
net_revenue,ai_agent,consumed_by
payments,gross_revenue,feeds_metric
customers,gross_revenue,feeds_metric
gross_revenue,executive_dashboard,consumed_by
gross_revenue,finance_dashboard,consumed_by
gross_revenue,ai_agent,consumed_by
payments,active_customers,feeds_metric
web_events,active_customers,feeds_metric
customers,active_customers,feeds_metric
active_customers,executive_dashboard,consumed_by
active_customers,product_dashboard,consumed_by
active_customers,ai_agent,consumed_by
subscriptions,churn_rate,feeds_metric
customers,churn_rate,feeds_metric
churn_rate,executive_dashboard,consumed_by
churn_rate,product_dashboard,consumed_by
churn_rate,ai_agent,consumed_by
subscriptions,customer_retention_rate,feeds_metric
customer_retention_rate,executive_dashboard,consumed_by
customer_retention_rate,product_dashboard,consumed_by
customer_retention_rate,ai_agent,consumed_by
orders,average_order_value,feeds_metric
customers,average_order_value,feeds_metric
average_order_value,product_dashboard,consumed_by
average_order_value,ai_agent,consumed_by
refunds,refund_rate,feeds_metric
payments,refund_rate,feeds_metric
customers,refund_rate,feeds_metric
refund_rate,finance_dashboard,consumed_by
refund_rate,ai_agent,consumed_by
payments,payment_success_rate,feeds_metric
customers,payment_success_rate,feeds_metric
payment_success_rate,operations_dashboard,consumed_by
payment_success_rate,ai_agent,consumed_by
subscriptions,subscription_mrr,feeds_metric
customers,subscription_mrr,feeds_metric
subscription_mrr,executive_dashboard,consumed_by
subscription_mrr,ai_agent,consumed_by
payments,customer_lifetime_value_proxy,feeds_metric
refunds,customer_lifetime_value_proxy,feeds_metric
customers,customer_lifetime_value_proxy,feeds_metric
customer_lifetime_value_proxy,executive_dashboard,consumed_by
support_tickets,support_sla_compliance_rate,feeds_metric
customers,support_sla_compliance_rate,feeds_metric
support_sla_compliance_rate,operations_dashboard,consumed_by
support_sla_compliance_rate,ai_agent,consumed_by
marketing_campaigns,campaign_conversion_rate,feeds_metric
web_events,campaign_conversion_rate,feeds_metric
campaign_conversion_rate,marketing_dashboard,consumed_by
sales_opportunities,sales_pipeline_value,feeds_metric
accounts,sales_pipeline_value,feeds_metric
sales_pipeline_value,sales_dashboard,consumed_by
sales_pipeline_value,ai_agent,consumed_by
invoices,invoice_collection_rate,feeds_metric
payments,invoice_collection_rate,feeds_metric
customers,invoice_collection_rate,feeds_metric
invoice_collection_rate,finance_dashboard,consumed_by
invoice_collection_rate,ai_agent,consumed_by
web_events,data_product_adoption_rate,feeds_metric
customers,data_product_adoption_rate,feeds_metric
data_product_adoption_rate,data_platform_dashboard,consumed_by
data_product_adoption_rate,ai_agent,consumed_by
